Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X1KO	X1WT	X2WT	X3KO	X3WT	X4KO	X4WT	X5KO	external_gene_name	gene_biotype	description
ENSRNOG00000006588	15.016362524986643	6.339056228907083	1.3274199697776414	4.775471496009624	1.7928668605851287e-6	1.2399807310105733e-5	4.492048067829539	0	0	14.523632474563433	0	74.65682227892319	1.1484499338443712	25.309947444732614	Meox2	protein_coding	mesenchyme homeobox 2 [Source:RGD Symbol;Acc:3079]
ENSRNOG00000031662	22.079916101069482	6.158049946285083	1.0879114399470868	5.66043311998318	1.5099142532429367e-8	1.5537238091308246e-7	54.802986427520366	1.0728266794284256	0	62.563339890427095	1.4151803165742773	25.147561188689917	0	31.63743430591577	Slc6a5	protein_coding	solute carrier family 6 member 5 [Source:RGD Symbol;Acc:621824]
ENSRNOG00000021782	18.902589282280506	5.327201271629509	0.9980664415819932	5.337521681608276	9.422563820080612e-8	8.528705839716624e-7	56.59980565465219	0	3.748240327167338	49.156909913907	0	20.432393465810556	0	21.283364896706974	Zscan10	protein_coding	zinc finger and SCAN domain containing 10 [Source:RGD Symbol;Acc:1310745]
ENSRNOG00000016700	4.220936329497048	5.240130946167733	1.3905552348411465	3.7683731036878605	1.6431497949545134e-4	7.336280042556216e-4	2.695228840697723	0	0	7.820417486303387	0	18.074809604370877	0	5.177034704604399	Tcf21	protein_coding	transcription factor 21 [Source:RGD Symbol;Acc:620523]
ENSRNOG00000025895	38.33642674401174	5.2053313875767975	0.9431078497365626	5.519338418220989	3.4027831814789805e-8	3.317860696315845e-7	15.27296343062043	4.291306717713702	0	31.281669945213547	0	186.2491250537347	3.445349801533114	66.15099900327843	Cavin2	protein_coding	caveolae associated protein 2 [Source:RGD Symbol;Acc:1359345]
ENSRNOG00000030210	81.72943545695959	5.150571336997448	0.5106655464189443	10.085997328615502	6.371482588919504e-24	4.706828426059006e-22	201.24375343876332	7.509786755998978	6.247067211945564	212.2684746282348	0	132.81055752776862	3.445349801533114	90.31049429143229	Fndc1	protein_coding	fibronectin type III domain containing 1 [Source:RGD Symbol;Acc:1310640]
ENSRNOG00000018606	3.934342999804891	5.134707941048827	1.4681199766250261	3.497471611858795	4.6969069815492025e-4	0.0018608331477018235	1.7968192271318153	0	0	8.937619984346728	0	17.288948317224317	0	3.451356469736266	Olr59	protein_coding	olfactory receptor 59 [Source:RGD Symbol;Acc:628858]
ENSRNOG00000010158	201.40904254756268	5.12576185437115	0.8422012515039021	6.086148465367605	1.1565919903660144e-9	1.4127123971856943e-8	165.30736889612703	5.364133397142127	7.496480654334676	159.75995722019775	4.245540949722832	893.5242834856385	27.56279841226491	348.0117773650735	Magel2	protein_coding	MAGE family member L2 [Source:RGD Symbol;Acc:1583615]
ENSRNOG00000024882	55.41838710638854	5.045948311585408	0.7896998959864804	6.389703654806857	1.662075439334403e-10	2.325004251134751e-9	43.12366145116357	2.145653358856851	3.748240327167338	43.5708974236903	0	274.2655892141494	6.890699603066228	69.6023554730147	Pax1	protein_coding	paired box 1 [Source:RGD Symbol;Acc:1588548]
ENSRNOG00000022711	5.830186939553767	4.954653663801333	1.431556837290082	3.4610247632084428	5.381233097906658e-4	0.0020913007194414642	3.5936384542636306	0	0	3.351607494130023	0	32.220312773008956	1.1484499338443712	6.327486861183154	Slco4c1	protein_coding	solute carrier organic anion transporter family, member 4C1 [Source:RGD Symbol;Acc:1303048]
ENSRNOG00000031665	54.94983942757911	4.937555242367879	0.7936190878904779	6.2215681524148	4.922102661339218e-10	6.361131453160851e-9	35.93638454263631	6.436960076570553	1.2494134423891128	54.74292240412371	0	268.7645602041235	5.742249669221857	66.7262250815678	Ace2	protein_coding	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 [Source:MGI Symbol;Acc:MGI:1917258]
ENSRNOG00000039323	37.21054238868667	4.917810158600516	0.8456894512017968	5.815148990698522	6.057990451847788e-9	6.607545098253322e-8	19.76501149844997	2.145653358856851	1.2494134423891128	31.281669945213547	1.4151803165742773	185.46326376658814	4.593799735377485	51.77034704604399		protein_coding	
ENSRNOG00000005154	3.330545408967055	4.901867647707476	1.2648110045969603	3.8755732120384945	1.0637398955630516e-4	4.997302919533503e-4	5.390457681395446	0	0	6.703214988260046	0	7.072751584319039	0	7.477939017761909	Alkal2	protein_coding	ALK and LTK ligand 2 [Source:RGD Symbol;Acc:1587117]
ENSRNOG00000023576	3.2743486152641825	4.886171088184005	1.476320585688324	3.3096951539870743	9.339763185606018e-4	0.0034191900846331316	5.390457681395446	0	0	1.117202498043341	0	13.359641881491518	0	6.327486861183154	Ecrg4	protein_coding	ECRG4 augurin precursor [Source:RGD Symbol;Acc:1305645]
ENSRNOG00000047491	53.506781260805425	4.881082398181468	1.1804144972466029	4.135057989856042	3.5486501486957353e-5	1.8551456911460368e-4	30.54592686124086	1.0728266794284256	2.4988268847782256	30.164467447170207	0	273.47972792700284	10.336049404599342	79.95642488222349	AABR07037520.1	protein_coding	
