Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PLAC1.4_1	PLAC1.4_2	PLAC1.4_3	SCR_1	SCR_2	SCR_3	gene_biotype	external_gene_name	description
ENSG00000187714.7	8.556756151975918	4.627309592251075	1.2202624119278878	3.792061073929506	1.494021581728724e-4	0.0038023442120703062	8.083224215307967	10.525622415889037	30.639978084583227	0	1.0876917038593736	1.004020492215899	protein_coding	SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]
ENSG00000100162.15	10.100682130329933	2.33355631494304	0.7071389028035515	3.2999970807592796	9.668583420027789e-4	0.015032596306508661	19.19765751135642	15.309996241293145	15.848264526508565	0.8773052263044742	4.3507668154374946	5.020102461079495	protein_coding	CENPM	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]
ENSG00000072571.20	14.068249290176174	2.313193209512189	0.6562295805386127	3.5249755239829215	4.2352192140272343e-4	0.008256102866007194	20.20806053826992	22.008119596858897	28.526876147715416	9.650357489349215	0	4.016081968863596	protein_coding	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]
ENSG00000117228.11	12.25865648117137	2.2817760835538397	0.6316986238380439	3.6121276783703204	3.036949646691841e-4	0.006470922444869808	16.166448430615933	23.92186912702054	21.131019368678086	6.141136584131319	2.1753834077187473	4.016081968863596	protein_coding	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]
ENSG00000135272.13	13.24161240398696	2.2575314583658495	0.6065897638707808	3.7216774710474043	1.9790370086584442e-4	0.004835258611440355	27.28088172666439	16.266871006373968	22.187570337111993	5.263831357826845	5.438458519296868	3.012061476647697	protein_coding	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]
ENSG00000138670.19	10.834559519690561	2.2080006999117674	0.6692728940246326	3.2991037282775446	9.699406348764689e-4	0.015062262135061096	20.20806053826992	13.396246711131502	20.074468400244182	6.141136584131319	2.1753834077187473	3.012061476647697	protein_coding	RASGEF1B	RasGEF domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24881]
ENSG00000120937.9	9.789730164972774	2.183173474735763	0.7227793377627636	3.0205255749194393	0.0025233639674830414	0.029371315436392896	15.156045403702437	16.266871006373968	16.90481549494247	4.386526131522371	0	6.024122953295394	protein_coding	NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]
ENSG00000101057.16	77.9629943722087	2.1754646218600153	0.3105159033616278	7.005968448986209	2.4528319002730524e-12	1.165276843881572e-9	110.13392993357105	104.29934939380955	169.04815494942468	29.82837769435212	16.315375557890604	38.15277870420416	protein_coding	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
ENSG00000165704.15	7.985690632018401	2.1587281671574816	0.7499958495223201	2.8783201514147008	0.0039979917284340485	0.04064599069766884	15.156045403702437	12.43937194605068	11.622060652772948	3.5092209052178966	2.1753834077187473	3.012061476647697	protein_coding	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]
ENSG00000117650.13	8.898403061595417	2.1347430999400547	0.7315355703033619	2.9181671904960056	0.0035209550866668166	0.037466333173215696	13.135239349875446	13.396246711131502	16.90481549494247	1.7546104526089483	2.1753834077187473	6.024122953295394	protein_coding	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]
ENSG00000128422.18	75.96143458606882	2.1096502118083826	0.29992351670111544	7.0339606410747875	2.007517754394013e-12	9.90401162908154e-10	103.06110874517658	126.30746899066845	141.57782977014318	42.98795608891923	21.753834077187474	20.08040984431798	protein_coding	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]
ENSG00000167880.8	17.23299254999253	2.1081895607055854	0.5298755274816737	3.97865055350853	6.930751847026754e-5	0.0020626625044503984	20.20806053826992	36.36124107307122	27.470325179281513	7.895747036740268	5.438458519296868	6.024122953295394	protein_coding	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]
ENSG00000175063.17	19.803063530012338	2.0990529041273427	0.5222812826601534	4.019008480327236	5.8443567593668954e-5	0.0018284283939609552	28.291284753577884	24.87874389210136	43.318589705790075	7.018441810435793	3.263075111578121	12.048245906590788	protein_coding	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
ENSG00000159251.8	17.189367839302	2.0876397205456296	0.5536218922792944	3.770876386319718	1.626752440095529e-4	0.004099480068586513	19.19765751135642	21.051244831778074	43.318589705790075	7.018441810435793	6.526150223156242	6.024122953295394	protein_coding	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]
ENSG00000265190.7	16.39318293854104	2.0637989869585	0.6708270958684397	3.0764991451139077	0.002094469034222051	0.025635261738517413	39.40571804962634	29.663117717505468	10.565509684339043	12.282273168262638	5.438458519296868	1.004020492215899	protein_coding	ANXA8	annexin A8 [Source:HGNC Symbol;Acc:HGNC:546]
ENSG00000164104.12	33.66311019739278	2.0522252856014753	0.41827735470463995	4.90637435309072	9.277537422278276e-7	6.800169858032197e-5	33.34329988814537	55.49873637468765	73.95856779037331	14.91418884717606	15.227683854031232	9.036184429943091	protein_coding	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
ENSG00000182836.10	15.652382995344698	2.0229117695968344	0.551981888539555	3.6648154796330292	2.4751696892578523e-4	0.005568250689172088	19.19765751135642	27.749368187343826	28.526876147715416	6.141136584131319	3.263075111578121	9.036184429943091	protein_coding	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822]
ENSG00000237649.8	34.36336859001357	2.013448328875594	0.443860191929914	4.536221912852955	5.72709189765805e-6	2.950257340211237e-4	38.39531502271284	52.62811207944519	73.95856779037331	6.141136584131319	11.96460874245311	23.092471320965675	protein_coding	KIFC1	kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389]
