Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SCR.1	SCR.2	SCR.3	shPLAC1.1	shPLAC1.2	shPLAC1.3	gene_biotype	external_gene_name	description
ENSG00000170965.10	29.757331417323204	3.5090396371578545	0.49710040412668655	7.0590158608351725	1.6768593433584982e-12	9.012423420316223e-10	58.713568145841286	50.76256900499658	54.22613491094245	6.139895403383261	1.8133156734606415	6.888505365315	protein_coding	PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]
ENSG00000158516.12	35.750543546259294	2.398682354676739	0.3991049943225665	6.010153690880813	1.8534753149963267e-9	5.05256304514104e-7	42.79124458086738	77.52828720763114	60.251261012158274	8.186527204511014	15.413183224415452	10.3327580479725	protein_coding	CPA2	carboxypeptidase A2 [Source:HGNC Symbol;Acc:HGNC:2297]
ENSG00000166897.16	19.159666162524413	2.136502551805949	0.5282338895367656	4.044614694599685	5.2409246306898996e-5	0.0020206676076104393	17.912614010595647	40.61005520399726	35.14656892375899	11.256474906202644	5.439947020381925	4.59233691021	protein_coding	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29396]
ENSG00000158258.16	29.340176653417437	2.050204893895062	0.3970923583983522	5.1630429307792225	2.429673881145137e-7	2.9976776418039554e-5	46.771825472110855	46.147790004542344	49.20519649326259	12.279790806766522	13.59986755095481	8.0365895928675	protein_coding	CLSTN2	calsyntenin 2 [Source:HGNC Symbol;Acc:HGNC:17448]
ENSG00000029534.22	98.28736806683102	1.8005176946394985	0.5566968971071231	3.2342872827132565	0.001219467236032741	0.023467875544033893	92.54850572141083	174.43864621717006	190.79565987183454	25.58289751409692	31.733024285561225	74.6254747909125	protein_coding	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]
ENSG00000164484.12	43.984214702249666	1.7482098506817292	0.3901505364200999	4.4808597899743	7.434294041790539e-6	4.255175311342379e-4	36.82037324400216	90.449668408903	75.31407626519784	19.44300211071366	10.87989404076385	30.9982741439175	protein_coding	TMEM200A	transmembrane protein 200A [Source:HGNC Symbol;Acc:HGNC:21075]
ENSG00000152779.14	139.01139903156007	1.7434509781002816	0.2632820726664769	6.621988958241254	3.543975354296201e-11	1.4574926790409264e-8	127.37858851979126	252.88988922489202	261.0887977193525	48.09584732650221	56.212785877279885	88.4024855215425	protein_coding	SLC16A12	solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]
ENSG00000259803.8	33.14839826651231	1.6837587222534218	0.36901783843257197	4.562811189305373	5.047320235376491e-6	3.095652574028774e-4	42.79124458086738	59.99212700590504	49.20519649326259	14.326422607894274	19.946472408067056	12.6289265030775	protein_coding	SLC22A31	solute carrier family 22 member 31 [Source:HGNC Symbol;Acc:HGNC:27091]
ENSG00000163499.12	18.792864921723297	1.5963684148038197	0.48958394911051	3.2606632993261875	0.00111151942611861	0.021968159122663544	21.893194901839124	32.30345300317964	30.125630506079137	7.163211303947137	6.346604857112245	14.9250949581825	protein_coding	CRYBA2	crystallin beta A2 [Source:HGNC Symbol;Acc:HGNC:2395]
ENSG00000142606.16	43.92625329165189	1.5491626196854071	0.34743168276405695	4.458898530383751	8.238190678614245e-6	4.6200439038046755e-4	46.771825472110855	86.7578452085396	62.259636379230216	24.559581613533044	14.506525387685132	28.7021056888125	protein_coding	MMEL1	membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]
ENSG00000152767.17	22.826946710686723	1.3512964471792925	0.43555872462868955	3.1024437596359995	0.0019193001275910207	0.032685622793053634	22.888340124649993	31.38049720308879	44.18425807558273	12.279790806766522	13.59986755095481	12.6289265030775	protein_coding	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]
ENSG00000149634.5	29.741342231472093	1.2791533132286246	0.38846122709484104	3.2928725546045943	9.916941568650945e-4	0.020354476742754177	27.86406623870434	46.147790004542344	52.21775954387051	14.326422607894274	17.226498897876095	20.665516095945	protein_coding	SPATA25	spermatogenesis associated 25 [Source:HGNC Symbol;Acc:HGNC:16158]
ENSG00000214711.10	79.41008111667519	1.2509547975983555	0.2594574497063371	4.8214256288043735	1.4253586212697267e-6	1.1224951865658898e-4	77.6213273792478	131.9826794129911	125.5234604419964	51.16579502819384	40.79960265286443	49.3676217847575	protein_coding	CAPN14	calpain 14 [Source:HGNC Symbol;Acc:HGNC:16664]
ENSG00000181143.15	26.846330178805903	1.1736084275033256	0.38414020746049493	3.055156436921589	0.0022494315812480173	0.03619954822924345	32.839792352758685	38.76414360381557	40.16750734143885	17.396370309585905	18.133156734606416	13.77701073063	protein_coding	MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]
ENSG00000172243.18	37.224602272602226	1.1706967846541638	0.32822420627073007	3.5667594354346153	3.614229834757566e-4	0.009555335258368573	50.75240636335433	48.916657404814885	55.230322594478416	21.489633911841413	26.293077265179303	20.665516095945	protein_coding	CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]
ENSG00000122735.16	113.78942005740487	1.1511069948724315	0.24235110088632456	4.749749395247688	2.0366888229306485e-6	1.4878547822251263e-4	100.50966750389779	194.7436738191687	175.73284461879496	64.46890173552424	80.69254746899854	66.588885198045	protein_coding	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]
